gene_id	C1	C2	T1	T2	T3
4680	26.43	17.91	1.40	0.62	1.15
4681	67.43	9.12	44.36	53.03	42.13
4682	11.06	8.01	20.22	22.92	25.37
4683	8.82	15.72	13.67	11.32	14.02
4684	0.41	0.27	6.78	7.58	7.55
4685	0.70	1.24	1.95	0.97	2.32
4686	6.50	4.96	16.35	13.77	16.37
4688	5.09	7.67	2.06	1.99	2.11
4689	0.25	1.87	21.20	19.68	17.50
4690	8.30	4.86	6.06	5.46	7.42
4691	193.63	279.52	358.25	274.37	338.50
4692	8.86	0.43	14.45	11.47	14.99
4693	0	0	1.62	1.39	1.25
4694	95.25	267.15	185.34	164.98	183.12
4695	50.47	28.43	59.37	69.82	60.34
4696	60.73	11.82	77.55	85.81	67.60
4697	73.32	78.03	48.73	73.96	52.83
4698	5.77	3.78	9.13	6.92	8.05
47	41.16	43.39	73.97	71.91	72.99
4700	42.17	42.74	31.83	37.84	30.30
4701	51.48	12.83	59.70	83.35	63.96
4702	32.59	26.56	69.73	60.81	61.76
4703	0.33	2.96	0.06	0.05	0.02
4704	36.70	33.91	42.95	57.63	43.05
4705	30.24	41.20	32.20	28.85	31.85
4706	55.89	30.76	128.00	136.20	116.39
4707	73.00	141.61	85.01	77.99	87.77
4708	100.53	50.84	161.88	114.26	138.22
4709	37.61	18.84	53.78	41.88	42.94
471	31.01	37.86	83.32	81.23	83.68
4710	130.36	149.24	109.29	125.77	129.49
4711	33.66	26.80	80.19	69.41	67.79
4712	31.31	11.95	38.47	40.64	43.42
4713	128.20	48.46	124.05	184.21	106.19
4714	102.95	52.93	129.07	122.36	89.91
4715	89.48	115.88	205.79	162.86	212.96
4716	77.91	46.79	113.63	111.21	90.33
4717	53.99	22.90	39.83	37.66	37.36
4718	17.79	12.56	32.64	23.93	18.82
4719	26.75	51.90	30.75	29.01	26.99
472	2.20	8.63	7.45	7.49	8.95
4720	41.11	61.47	67.87	65.34	61.33
4722	53.49	103.71	82.86	101.16	103.70
4723	76.60	74.98	123.14	135.80	119.39
4724	78.15	114.91	68.25	55.99	62.33
4725	227.00	155.38	277.83	204.43	215.25
4726	54.60	118.56	145.52	129.86	171.38
4728	63.73	24.30	116.92	153.61	125.38
4729	94.91	97.15	95.01	120.23	85.81
473	19.47	12.07	15.50	20.14	17.22
4731	17.90	25.28	26.00	24.10	19.88
4733	27.70	31.47	35.48	42.48	48.07
4734	3.80	5.83	7.13	4.77	7.02
4735	73.44	31.31	101.39	98.19	91.67
4736	986.93	418.48	1264.55	1093.10	1137.50
4738	133.80	126.14	148.10	177.58	131.21
4739	15.46	9.28	17.75	18.50	16.91
4741	2.96	7.40	0.60	0.49	0.39
474170	9.62	53.99	6.42	6.22	7.14
474343	4.69	10.51	6.67	10.53	5.25
474344	7.37	1.29	0.94	0.58	0.49
474382	0	0	0	0.89	0.92
4744	1.02	1.86	3.44	1.51	2.85
4745	0.56	0.43	0	0.13	0
4747	2.95	2.42	1.62	1.46	1.54
475	49.98	33.95	74.38	66.98	68.94
4750	2.04	4.30	2.72	2.37	3.05
4751	4.29	2.38	19.17	14.97	18.12
4752	3.83	3.67	5.26	4.08	5.53
4753	17.56	18.59	2.46	1.74	1.95
4756	19.66	18.67	9.69	9.99	9.22
4758	18.06	11.31	45.77	48.18	43.82
4759	18.45	8.37	0	0	0
476	349.39	315.00	259.54	256.54	262.97
4761	0.34	0	0	0	0
4763	6.57	18.29	7.78	6.56	7.51
477	4.44	4.57	3.56	2.25	3.14
4771	6.82	26.75	7.90	7.33	8.30
4772	4.12	3.11	4.92	6.47	4.01
4773	3.57	2.82	3.37	2.43	2.91
4774	3.87	8.35	1.54	2.09	1.86
4775	9.85	6.52	13.55	14.55	14.57
4776	2.72	1.08	7.34	9.28	9.19
4778	2.03	0.48	5.93	7.04	4.28
4779	75.89	23.68	74.26	77.46	85.08
478	0.30	0.15	6.23	5.87	4.96
4780	75.21	51.01	37.42	35.91	39.72
4781	14.79	18.92	1.92	2.09	3.10
4782	25.72	11.66	11.61	15.22	13.01
4783	49.48	17.07	21.99	20.98	20.00
4784	66.60	44.15	15.35	16.57	12.82
479	0.55	0.14	0.18	0	0
4790	17.22	12.22	9.50	7.95	11.47
4791	9.65	4.80	20.02	24.80	24.67
4792	82.56	160.38	62.70	60.55	52.76
4793	9.74	3.15	15.91	22.61	13.06
4794	2.96	0.83	8.59	10.54	11.58
4795	10.21	2.45	17.62	24.17	13.96
4796	3.60	1.06	20.11	23.47	17.93
4798	9.96	7.32	11.02	11.54	12.98
4799	22.36	22.04	14.07	11.96	13.85
48	15.32	10.72	25.72	21.72	22.15
480	0	0	0	0	0.49
4800	5.27	1.46	12.66	12.33	13.45
4801	6.55	7.67	8.30	7.64	10.72
4802	28.81	12.86	24.11	26.50	26.30
4803	0.34	0	0.98	1.21	0
4804	8.28	0.94	3.36	3.42	2.98
4807	0.13	0.10	0.38	1.25	0
4808	0.97	0	0	0.16	0
4809	64.41	16.95	87.81	105.67	82.38
481	84.28	93.69	39.42	41.37	34.41
4810	2.30	3.99	1.43	1.17	1.28
4811	10.40	12.23	25.71	26.11	25.53
4814	50.12	1.93	41.18	46.77	36.12
4815	5.38	3.66	6.80	9.56	8.71
4817	11.45	6.76	16.84	23.52	19.75
4818	0.88	0	31.92	45.64	34.95
482	1.20	0.31	2.13	2.49	2.87
4820	13.37	7.81	18.69	15.78	19.02
4821	0	0	0.95	0.59	1.23
4824	1.14	0	2.31	2.81	2.11
4825	0	0	0.31	0.38	0
4826	5.94	0.85	0.27	0.67	1.75
4828	7.22	1.63	11.87	12.58	14.44
483	203.22	72.02	95.66	90.44	94.72
4830	76.85	49.17	217.77	215.96	228.83
4831	324.96	161.92	584.57	588.55	568.28
4832	19.38	2.19	29.59	25.37	29.91
4833	41.95	6.68	138.55	152.10	137.68
4835	26.61	13.20	28.55	27.74	34.58
4836	22.16	9.87	27.90	27.12	30.12
4837	24.10	7.67	40.52	51.37	39.85
4838	0.19	1.02	0.36	0.66	0.69
4839	14.90	11.78	45.30	44.34	44.70
4841	76.70	49.99	220.10	207.63	219.50
4842	2.06	1.10	0	0.04	0.08
4843	0.25	0	0	0.19	0
4846	3.05	0.80	1.88	2.40	1.17
4848	25.71	24.81	20.84	20.69	19.35
4849	18.35	11.72	27.45	30.20	24.74
4850	5.51	8.64	8.47	6.89	7.78
4851	33.69	42.88	18.58	19.70	17.95
4852	0	0	0.64	0	0
4853	30.27	102.40	18.09	19.29	23.06
4854	69.23	60.59	11.68	12.10	11.21
4855	3.60	2.85	0.24	0.35	0.25
4856	26.03	5.69	2.16	2.97	4.60
4857	1.20	1.02	2.43	2.14	1.81
4858	0.27	0.10	0.30	0.57	0.16
486	0	0	17.29	20.60	11.84
