"","logFC","logCPM","PValue","FDR"
"727851",7.44004354248288,6.91765043943127,2.97681422422398e-30,2.91844981152248e-26
"440689",8.99154101484197,6.2889780120021,4.43567111714032e-30,2.91844981152248e-26
"100132406",5.64505674738336,10.5708577145238,6.13156407193295e-29,2.68950838741886e-25
"8338",7.64317519958524,6.40835865221594,1.97649820336978e-28,6.50218496453573e-25
"3008",7.88127137169286,6.09186998175447,2.57067087304806e-27,6.76549160368788e-24
"8969",11.555520154079,5.80706141701133,1.00238484744454e-26,2.19839703458711e-23
"8347",6.90728462299375,6.07652613227774,3.78235236614963e-25,7.11028211230899e-22
"2312",4.91661254877813,15.8597066155332,2.65159380932977e-24,3.94781595292652e-21
"8329",11.1979692187349,5.45009949930806,2.70007930514011e-24,3.94781595292652e-21
"100288142",5.13852423919161,8.41942849085511,3.18274465015533e-24,4.1881736851394e-21
"723790",5.6154727422792,6.76533418358073,1.70107808088582e-23,1.86537387219804e-20
"8337",5.6154727422792,6.76533418358073,1.70107808088582e-23,1.86537387219804e-20
"8970",7.99188468158254,5.29326752783042,2.99722890872832e-23,3.03388732384276e-20
"8351",10.9793297293541,5.23202407385724,7.70427012699472e-23,7.24146361436597e-20
"3012",7.18855142287067,5.40376614114244,1.30421189447412e-22,1.14414162129233e-19
"100132247",4.78868985651599,8.83273155813738,2.47258654153594e-22,2.03354789375446e-19
"8336",10.8803007561612,5.13331854224166,3.56883005754445e-22,2.76248439571926e-19
"3017",5.36857501723217,6.52393410401843,8.3608533000349e-22,6.11224825417552e-19
"388697",5.10050511031081,6.843642080193,1.7494784220924e-21,1.21165192401652e-18
"8367",7.69295487411244,4.99657985589683,2.72728464891893e-21,1.79441693475621e-18
"84220",4.56850212423641,9.13857740786728,4.11648821233766e-21,2.57946992315006e-18
"8345",7.66243859095441,4.96633502603484,4.54000957862492e-21,2.71554482023297e-18
"8340",6.28628729602919,5.46278330108455,5.60714437615197e-21,3.20801794981669e-18
"8331",10.6828758304749,4.93669576700637,6.87745417926516e-21,3.62001678179801e-18
"85235",10.6828758304749,4.93669576700637,6.87745417926516e-21,3.62001678179801e-18
"3009",10.6750185084533,4.928875285676,7.63823450882985e-21,3.86582799621892e-18
"101060226",4.45242234277323,10.2804670739408,9.22296916745071e-21,4.49500189905496e-18
"23117",4.49226034575632,9.14837562547765,1.24867012103233e-20,5.8683036152373e-18
"8968",10.6023078075439,4.85652548535146,2.00414880654291e-20,9.0939979811373e-18
"85236",4.61678611833806,7.51458001565601,4.01733352070623e-20,1.76213639329911e-17
"51621",-4.6550477205998,7.38269393682637,6.8464181031462e-20,2.90619405868712e-17
"554313",6.72935917608109,4.94973330579581,1.30465810619193e-19,5.20242303617564e-17
