"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",24.7112919981258,2.16899282835184,0.659867728978984,3.28701152230603,0.00101256690575277,0.0047223810753629
"10",0.19705257512115,0.580987595763124,4.56207316163209,0.127351661224844,0.898662073387321,NA
"100",329.156994520089,4.38880305110266,0.799939004984077,5.48642211938399,4.10156126068973e-08,5.34006535075433e-07
"1000",68.5923049551391,3.84651448920949,0.558016435942968,6.89319210232478,5.45541232292262e-12,1.28141930984231e-10
"10000",104.480081823531,0.151800658824313,0.3286488384941,0.461893185199979,0.644157921271067,0.753620784002306
"10001",78.0644317924107,-0.167039386348707,0.375319687821052,-0.445058950460251,0.656277153008545,0.763176399076434
"10002",1.36969920339644,3.42768243843498,2.49747290770919,1.37246030892044,0.169920186762899,NA
"10003",6.6678642842486,0.374247925339797,1.19314355245425,0.313665463447363,0.753775134041689,0.837942400002153
"100037417",9.43132636287444,1.04704668846867,1.25131504379924,0.836757053035685,0.402729142364559,0.546184276494247
"10004",3.71634623981986,-0.698175686441308,1.35228464341225,-0.516293437067794,0.605649479287339,0.722698929183354
"100049587",4.91488616535525,2.58974083982722,1.52561838481595,1.6975023804132,0.0896017214451465,0.180186339090738
"10005",40.5129287557805,1.48742536561726,0.696847962132745,2.1345048654012,0.0328014758074221,0.0831718183867368
"10006",252.032553587835,-2.03735201011254,0.352946076590251,-5.77241721963604,7.81423367030702e-09,1.14759864463837e-07
"10007",124.475952572451,1.55797047483934,0.440560855997709,3.5363343193782,0.00040572089989892,0.0021540754435712
"10008",4.49732853017748,2.62388369177243,1.52113557124977,1.72495058386981,0.0845363784308948,0.17261179101195
"10009",116.385937183786,-0.184934343723246,0.335036117081967,-0.551983306557966,0.580959790538959,0.702427996308533
"1001",182.586023393159,-2.30077998653188,0.408172346331802,-5.63678555690685,1.73253635964871e-08,2.39655007806047e-07
"10010",125.222326084193,-1.80313841886667,0.378406171129995,-4.76508724337698,1.8877195269619e-06,1.78890307400567e-05
"100101267",439.137771582558,0.0114415529255172,0.412998065234035,0.0277036477617239,0.977898514328428,0.986519692109488
"100101467",31.066045740679,0.31160006866102,0.574365328866108,0.54251197452355,0.58746586058641,0.707772549515989
"100101629",4.37987098472816,5.10591713447558,2.55900929094776,1.99527104201506,0.0460133264396955,0.107997464730486
"10011",70.3877781468478,0.142405938070444,0.451075297716785,0.315703251300308,0.752227758645745,0.836688787407838
"100113407",32.2242772751334,1.13015237939885,0.654161678402381,1.72763464554963,0.08405374731613,0.171874658653368
"100125288",5.74254526439386,1.91283566503631,1.3213607138888,1.44762565204983,0.147721773027393,0.262918709743766
"100127983",11.4034401406887,-0.312603065275295,0.886976420259355,-0.352436725639097,0.724510763501017,0.815931518646922
"100128071",5.06320383865459,0.701138119571372,1.46329913820665,0.479148863868433,0.631832729766615,0.744246691805594
"100128108",3.1937875729936,0.504206259431209,1.61577466332573,0.312052336798875,0.755000748745617,0.838428278912676
"100128242",5.79979776964873,5.50414513281254,1.757368207219,3.13203864176122,0.00173597025538168,0.00747690780531527
"100128327",0.377635004517961,1.5520962103063,4.51859049270391,0.343491230907611,0.731228936721056,NA
"100128553",49.1718401138616,-3.91513965647745,2.35620606051234,-1.66162871834144,0.0965872414869633,0.190435532806608
"100128569",5.77078997627434,1.42901492595832,1.09491869210253,1.30513337315872,0.191847436531063,0.319825939712964
"100128731",143.557903025934,0.510166224535132,0.473038790522954,1.07848708130497,0.280816443909311,0.424324155747002
"100128908",0.151548530374588,0.580987595763124,4.56207316163209,0.127351661224844,0.898662073387321,NA
"100128927",34.5492472070745,0.121159840701887,1.00989586923823,0.119972607466232,0.904504847275646,0.939984870606586
"100129083",0.261028285493682,-1.94888623663254,4.54046326352765,-0.429226297740899,0.667758546835211,NA
"100129216",0.261028285493682,-1.94888623663254,4.54046326352765,-0.429226297740899,0.667758546835211,NA
"100129250",9.21732447425678,-0.861137411526854,0.834767912221947,-1.03158901883844,0.302264686799569,0.445959249747117
"100129271",436.319141215124,-12.7016448670435,1.26881156978035,-10.0106628671761,1.368326185198e-23,1.24705339015559e-21
"100129307",0.18881750225898,0.580987595763124,4.56207316163209,0.127351661224844,0.898662073387321,NA
"100129361",48.5176665691116,2.40522040798649,1.02268203527763,2.35187509413279,0.0186790461135525,0.0529709297449314
"100129396",2.05808427597025,-2.20595859265879,2.34379775882391,-0.941189820817011,0.346607592218635,0.491512802373523
"100129480",1.68496383508208,-1.66635210764746,1.95255146203263,-0.853422887974877,0.393424833401142,0.537358282770815
"100129484",6.61201486220337,-0.113573020967873,1.21510546483697,-0.0934676242140935,0.925532069205461,0.954004457555606
"100129520",2.00636097350645,3.96520442959668,2.21293747935933,1.79182849338548,0.073160443088983,0.154814370018069
"100129543",5.48723900803419,1.22492782040417,1.20220838408499,1.01889808507406,0.308251352912501,0.452364816672937
"100129583",0.835715865132793,0.618940248243017,3.02865167083075,0.204361648519733,0.838070897760708,NA
"100129654",0.77174015476026,2.58148139325834,3.61405219054481,0.714290014962177,0.475047865247294,NA
"100129697",0.522056570987364,-2.98083960884901,4.43507940811895,-0.672105127000032,0.501516772800503,NA
"100129792",4.27645425101615,-2.63879645703674,1.44565684070487,-1.82532699513262,0.0679516988151707,0.146217167350669
"100129836",0.522056570987364,-2.98083960884901,4.43507940811895,-0.672105127000032,0.501516772800503,NA
"100129842",42.8591693871731,-1.14722144877938,0.709494804997049,-1.61695538952417,0.105887910771887,0.203470689185733
"100129924",2.96057900220072,0.284251091015073,1.74107645975387,0.16326169331774,0.870312393484482,0.917544444981756
"100129940",0.564125346242859,-0.27295904848603,4.05482777008864,-0.0673170511703542,0.946329302808043,NA
"10013",199.260206163788,0.766085104954009,0.330067125719073,2.32099789788226,0.0202869573037201,0.0566649180450145
"100130311",16.9522930594362,-3.30759365191199,0.78559773326867,-4.21028919998272,2.55043999247347e-05,0.000186677225516105
"100130348",0.261028285493682,-1.94888623663254,4.54046326352765,-0.429226297740899,0.667758546835211,NA
"100130357",1.67966680312775,0.591146546147431,2.44545272089809,0.241732968744672,0.808987081659909,0.876812692335688
"100130361",3.98225429840125,4.96486884989882,1.87448427937858,2.6486585694625,0.00808119284155961,0.0266625868080336
"100130370",5.48455924361093,5.42259060825018,1.83194307120253,2.96002135300562,0.00307617720340454,0.0120753015547869
"100130449",2.38388232623388,-0.726828789391672,2.23423773371776,-0.325313988938067,0.744943444539697,0.83148596801481
"100130451",1.16630885151185,1.48851797523128,2.76867543823091,0.537628193856624,0.590833761723148,NA
"100130519",1.26365471776842,3.30032625746603,2.50060374251853,1.31981177239303,0.186897870114145,NA
"100130520",0.205751194492609,-1.77521509235878,4.55264869553447,-0.389930172758558,0.696588181759599,NA
"100130705",6.06010152297811,0.562271809057742,1.33159114745747,0.422255592590369,0.672838467795889,0.776459908769096
"100130733",5.48157004780474,-1.67020246424139,1.12595881588291,-1.48336017328637,0.137978742916783,0.2497585938917
"100130742",1.01182228022942,-2.70669689627958,3.29815229680898,-0.820670682460104,0.411833874543913,NA
"100130771",0.574687579639111,2.15664559460536,3.99236862545205,0.540192000522287,0.589064628823409,NA
"100130827",0.491914563008157,1.95586898937251,4.15493866960134,0.470733540228206,0.637831029650184,NA
"100130890",1.61615463926451,0.701580294161473,2.16910372529513,0.32344248270839,0.746360160478364,0.832368239946117
"100130933",0.18881750225898,0.580987595763124,4.56207316163209,0.127351661224844,0.898662073387321,NA
"100130958",2.01258509847936,-0.656065169848057,2.26091613700726,-0.290176693911558,0.771681065074745,0.850849727402496
"100130967",1.64955847722248,-0.0855073218034983,2.13250810892727,-0.0400970676010755,0.968015739638658,0.980869315851141
"100131017",169.662866099035,1.69403647345741,1.0329751000565,1.63995867215459,0.10101376021557,0.196911600840247
"100131094",3.94175717861203,1.04261264628871,1.31472823993654,0.793025215872014,0.427763131594194,0.568580230502192
"100131107",1.58869239570857,-2.23282451817181,2.34309629304094,-0.952937582976576,0.340621696461326,0.485183795439433
"100131187",41.9835584421415,-1.49289996481671,0.541608788951073,-2.75641753840072,0.00584383457600395,0.020461760187198
"100131211",24.2045988523701,0.420205342838304,0.638051841627114,0.658575550486189,0.510168367440078,0.643266289216681
"100131244",3.60214665104627,4.81230916805417,1.91447746697369,2.51364105928142,0.0119491981277773,0.0368052840749169
"100131378",0.655596982245272,-1.86784776371118,3.08605001103317,-0.605255182849694,0.545009454934966,NA
"100131390",0.840515668503895,2.7275127893508,2.88220233448291,0.946329394268615,0.343980605332923,NA
"100131539",0.727807765479974,-3.46714269422987,3.51732791455013,-0.985732004083936,0.324264640166765,NA
"100131755",26.4119621647188,-1.95692006275143,0.558260020369497,-3.50539173744915,0.000455935888815014,0.00237793377721081
"100131801",91.0852501820797,-2.12955653874444,0.567286517566509,-3.75393469226028,0.000174080236729756,0.0010260183649678
"100131827",20.460831519759,-0.904513304849415,0.770723613456043,-1.17358971368924,0.240559403305142,0.377589009281931
"100131897",4.71353101544623,0.302002812142379,1.17170650137625,0.257746126515178,0.796602844667249,0.868422335584276
"100131980",0,NA,NA,NA,NA,NA
"100132015",0.303097060749177,1.27772384490753,4.5415029102888,0.281343834881806,0.778446692112204,NA
"100132074",11.1534886281119,0.216376047191179,0.996446969077705,0.217147579254973,0.828093335582939,0.889078465783393
"100132247",840.158486988653,-3.11271782669537,0.981665098152104,-3.17085514454449,0.00151990914812466,0.0066890262150773
"100132386",118.402351826765,-10.8190156055608,1.33748447885697,-8.08907750077733,6.01183112165227e-16,2.28292129902933e-14
"100132406",2418.98493660598,-6.93856965197067,1.56070213618832,-4.44580006080892,8.75653619313708e-06,7.13268619736177e-05
"100132463",0.522056570987364,-2.98083960884901,4.43507940811895,-0.672105127000032,0.501516772800503,NA
"100132476",69.6361339479819,-10.0531686475001,1.28139383912723,-7.84549475776118,4.31249860627743e-15,1.46652537892364e-13
"100132813",0.205751194492609,-1.77521509235878,4.55264869553447,-0.389930172758558,0.696588181759599,NA
"100132911",8.92096894905857,0.25054262837957,0.841783990179184,0.297632921631402,0.765983344864564,0.846674639077201
"100132994",3.98225429840125,4.96486884989882,1.87448427937858,2.6486585694625,0.00808119284155961,0.0266625868080336
"100133093",5.76103344579306,-6.46363189720735,2.57215191089815,-2.51292774342802,0.0119733855760816,0.036869086465648
"100133204",1.28928702937351,0.44797187342824,2.16421717941862,0.206990258504732,0.836017466342456,NA
"100133220",56.3944006238737,-6.14174669824779,3.04369829654992,-2.01785660070499,0.0436061980718707,0.103802276574368
"100133251",0,NA,NA,NA,NA,NA
"100133941",553.581199461258,0.970736731177842,0.475473866751702,2.04161952750344,0.0411892867487615,0.0992788173426019
"100134444",16.5430329940128,-7.97948643926306,1.3987937791598,-5.70454813150228,1.16652129244705e-08,1.65966530715772e-07
"100134934",33.1528660703614,-0.399591005041703,0.558669125321987,-0.715255214455248,0.474451356747104,0.609948790001576
"100134938",200.048702872786,-2.01858525910362,0.655916415966088,-3.07750379464201,0.0020874218085895,0.008745019812239
"100137047",36.5881851765779,-1.04372395804083,0.713214577629388,-1.46340805527279,0.143355755819497,0.25709894856237
"100137049",50.9994537657162,-0.975904630399552,0.625486433818388,-1.56023308841725,0.118704809009525,0.222313644773709
"10014",284.146126991761,-1.09575876833634,0.328589625375587,-3.33473330779648,0.000853812425579827,0.00410065329473772
"100141515",0.449845787752663,-0.983220373941911,4.33820909486654,-0.226641997294544,0.820702132807356,NA
"100142659",43.0811519543325,-3.97253159660038,0.943885169146778,-4.2087022091801,2.56841618903562e-05,0.0001877345087027
"100144595",0.205751194492609,-1.77521509235878,4.55264869553447,-0.389930172758558,0.696588181759599,NA
"100144748",3.27577626973849,0.932035882154016,1.53946972434823,0.605426574756848,0.544895598006618,0.673476433091099
"10015",506.377657373836,-0.66070210835942,0.264461644517568,-2.49829085637229,0.0124793755789375,0.0381363405074679
"10016",265.924777573447,1.09466089537886,0.291297645807201,3.75787759061871,0.000171360668790862,0.00101162946912409
"10017",2.57956851591346,-5.30793584048914,2.28428333273822,-2.32367664922127,0.0201428308879908,0.0563898467423085
"100170229",4.16679804069061,-0.939954534144664,1.6676070852285,-0.563654677693978,0.572989167558809,0.696062474933006
"100170765",0.151548530374588,0.580987595763124,4.56207316163209,0.127351661224844,0.898662073387321,NA
"100170841",67.0662151400011,3.17081344068573,0.919692912838929,3.4476871534195,0.000565408532503984,0.0028746256566484
"10018",89.1430365745278,1.58345102196245,0.607813292473568,2.60516023846469,0.00918313014033284,0.0296098131835676
"100188893",168.606628706814,0.89454930308036,0.485850596933461,1.84120243697647,0.0655918983747805,0.142368697220927
